Ref;Val;Package;PosX;PosY;Rot;Side
CBIAS1;2.2µF;0603;134.362500;-80.800000;0.000000;top
CSup2;47µF;CP_Elec_10x10.5;147.100000;-82.300000;-90.000000;top
Cbst1;100nF;0603;125.837500;-84.500000;0.000000;top
Cbyp1;100nF;0603;135.500000;-85.500000;-90.000000;top
Cout1;100µF;1210;152.600000;-91.600000;90.000000;top
Csup1;4.7µF;0603;138.000000;-85.500000;-90.000000;top
Drpp1;SB1060L;TO_277B;157.300000;-80.900000;-90.000000;top
J1;Banana Plug;Banana_Jack_2Pin;123.130000;-112.000000;0.000000;top
L1;10µH;SRP1265C;135.000000;-96.000000;0.000000;top
R_OSC1;294k;0603;128.400000;-81.000000;90.000000;top
R_RST1;20k;0603;126.000000;-82.000000;-90.000000;top
U1;MAX200008A;MAX20008AFOB;132.000000;-85.000000;0.000000;top
;;;;;;
