Designator,Val,Package,MidX,MidY,Layer,Rotation
"CBIAS1","2.2µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.362500,-80.800000,0.000000,top
"CSup2","47µF","CP_Elec_6.3x7.7",146.750000,-84.750000,-90.000000,top
"Cbst1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",125.837500,-84.500000,0.000000,top
"Cbyp1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.500000,-85.500000,-90.000000,top
"Cout1","100µF","C_1210_3225Metric",152.600000,-91.600000,90.000000,top
"Csup1","4.7µF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",138.000000,-85.500000,-90.000000,top
"L1","10µH","SRP1265C",135.000000,-96.000000,0.000000,top
"R_OSC1","294k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.400000,-81.000000,90.000000,top
"R_RST1","20k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.000000,-82.000000,-90.000000,top
"XT60","J1","XT60 conn",158.000000,-86.000000,-90.000000,top
